Years,LEB
1950-1955,47.9
1955-1960,49.3
1960-1965,51.2
1965-1970,55.5
1970-1975,58.1
1975-1980,60.3
1980-1985,62.1
1985-1990,63.7
1990-1995,64.6
1995-2000,65.7
2000-2005,67.2
2005-2010,69.1
2010-2015,70.8
2015-2020,72.0
